Question,Label
What is the name of the wizard prison?,Harry Potter
What is the name of the Hogwarts headmaster during most of the books?,Harry Potter
What is the name of Harry's mother?,Harry Potter
What is the name of Harry's father?,Harry Potter
What is the name of Ron Weasley's pet rat?,Harry Potter
What is the name of Hermione's cat?,Harry Potter
What is the name of Hagrid's dog?,Harry Potter
What is the name of Neville Longbottom's toad?,Harry Potter
What is the name of the Hogwarts ghost that lives in Gryffindor tower?,Harry Potter
What is the name of the poltergeist at Hogwarts?,Harry Potter
What is the name of Draco Malfoy's mother?,Harry Potter
What is the name of the Hogwarts house elf that tries to save Harry's life?,Harry Potter
What is the name of Ron's younger sister?,Harry Potter
What is the name of the Hogwarts groundskeeper?,Harry Potter
What is the name of the wizard sport played at Hogwarts on broomsticks?,Harry Potter
What is the name of the Hogwarts sorting hat?,Harry Potter
What is the name of the Hogwarts headmaster before Dumbledore?,Harry Potter
What is the name of Voldemort's snake?,Harry Potter
What is the name of Harry's cousin?,Harry Potter
What is the name of the Hogwarts potions master?,Harry Potter
What is the name of Hagrid's giant half-brother?,Harry Potter
What is the name of the Hogwarts herbology professor?,Harry Potter
What is the name of the Hogwarts divination professor?,Harry Potter
What is the name of the centaur who lives in the Forbidden Forest?,Harry Potter
What is the name of the Hogwarts caretaker?,Harry Potter
What is the name of Ron's pet owl (after Scabbers)?,Harry Potter
What is the name of the Hogwarts charms professor?,Harry Potter
What is the name of the Hogwarts transfiguration professor?,Harry Potter
What is the name of the Hogwarts flying instructor?,Harry Potter
What is the name of the Hogwarts astronomy professor?,Harry Potter
What is the name of the Hogwarts history of magic professor?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's first year?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's second year?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's third year?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's fourth year?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's fifth year?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's sixth year?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's seventh year?,Harry Potter
What is the name of Ron's mother?,Harry Potter
What is the name of Ron's father?,Harry Potter
What are the names of Ron's twin brothers?,Harry Potter
What is the name of Hermione's cat?,Harry Potter
What is the name of Neville's toad?,Harry Potter
What is the name of Draco's two cronies?,Harry Potter
What is the name of Hagrid's giant half-brother?,Harry Potter
What is the name of the Hogwarts poltergeist?,Harry Potter
What is the name of the wizarding sport played on broomsticks?,Harry Potter
What is the name of the Hogwarts house elf that tries to save Harry's life?,Harry Potter
What is the name of Voldemort's snake?,Harry Potter
What is the name of the Hogwarts sorting hat?,Harry Potter
What is the name of the centaur who lives in the Forbidden Forest?,Harry Potter
What is the name of the Hogwarts caretaker and his cat?,Harry Potter
What is the name of Ron's pet rat?,Harry Potter
What is the name of Harry's owl?,Harry Potter
What is the name of Hermione's cat?,Harry Potter
What is the name of Neville's toad?,Harry Potter
What is the name of Hagrid's dog?,Harry Potter
What are the names of the four Hogwarts houses?,Harry Potter
What are the three Unforgivable Curses?,Harry Potter
Who killed Cedric Diggory?,Harry Potter
Who killed Sirius Black?,Harry Potter
Who killed Dumbledore?,Harry Potter
Who killed Snape?,Harry Potter
Who are the Marauders?,Harry Potter
What is Voldemort's real name?,Harry Potter
Where is the entrance to Diagon Alley located?,Harry Potter
Where is the Hogwarts kitchen located?,Harry Potter
What creature lives in the Chamber of Secrets?,Harry Potter
What creature pulls the Hogwarts carriages?,Harry Potter
What is the name of the Hogwarts school song?,Harry Potter
What is the name of the Weasley family home?,Harry Potter
What is the name of the wizarding sport played on broomsticks?,Harry Potter
Where do witches and wizards get their wands?,Harry Potter
What is the name of the Hogwarts headmaster before Dumbledore?,Harry Potter
What is the name of Hagrid's giant half-brother?,Harry Potter
What is the name of Neville Longbottom's toad?,Harry Potter
What is the name of the Hogwarts poltergeist?,Harry Potter
What is the name of Draco Malfoy's mother?,Harry Potter
What is the name of the wizard prison?,Harry Potter
What is the name of Ron's younger sister?,Harry Potter
What is the name of Hermione's cat?,Harry Potter
What is the name of Harry's godfather?,Harry Potter
What is the name of the Hogwarts potions master?,Harry Potter
What is the name of the Hogwarts herbology professor?,Harry Potter
What is the name of the Hogwarts divination professor?,Harry Potter
What is the name of the centaur who lives in the Forbidden Forest?,Harry Potter
What is the name of the Hogwarts caretaker?,Harry Potter
What is the name of Ron's pet owl (after Scabbers)?,Harry Potter
What is the name of the Hogwarts charms professor?,Harry Potter
What is the name of the Hogwarts transfiguration professor?,Harry Potter
What is the name of the Hogwarts flying instructor?,Harry Potter
What is the name of the Hogwarts astronomy professor?,Harry Potter
What is the name of the Hogwarts history of magic professor?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's first year?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's second year?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's third year?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's fourth year?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's fifth year?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's sixth year?,Harry Potter
What is the name of the Hogwarts defense against the dark arts professor in Harry's seventh year?,Harry Potter
What is the name of Ron's mother?,Harry Potter
What is the name of Ron's father?,Harry Potter
What are the names of Ron's twin brothers?,Harry Potter
What is Harry's patronus?,Harry Potter
What is Hermione's patronus?,Harry Potter
What is Ron's patronus?,Harry Potter
What is Dumbledore's patronus?,Harry Potter
What is Snape's patronus?,Harry Potter
What is McGonagall's patronus?,Harry Potter
What is Umbridge's patronus?,Harry Potter
What is Voldemort's patronus?,Harry Potter
What is Draco's patronus?,Harry Potter
What is Luna's patronus?,Harry Potter
What is Ginny's patronus?,Harry Potter
What is Neville's patronus?,Harry Potter
What is Hagrid's patronus?,Harry Potter
What is Sirius's patronus?,Harry Potter
What is Lupin's patronus?,Harry Potter
What is Mr. Weasley's patronus?,Harry Potter
What is Mrs. Weasley's patronus?,Harry Potter
What is Fred's patronus?,Harry Potter
What is George's patronus?,Harry Potter
What is Harry's wand core?,Harry Potter
What is Hermione's wand core?,Harry Potter
What is Ron's wand core?,Harry Potter
What is Dumbledore's wand core?,Harry Potter
What is Voldemort's wand core?,Harry Potter
What is Draco's wand core?,Harry Potter
What is Snape's wand core?,Harry Potter
What is Hagrid's wand core?,Harry Potter
What is Sirius's wand core?,Harry Potter
What is Lupin's wand core?,Harry Potter
What is Mr. Weasley's wand core?,Harry Potter
What is Mrs. Weasley's wand core?,Harry Potter
What is Fred's wand core?,Harry Potter
What is George's wand core?,Harry Potter
What is Ginny's wand core?,Harry Potter
What is Neville's wand core?,Harry Potter
What is Luna's wand core?,Harry Potter
What is Harry's boggart?,Harry Potter
What is Hermione's boggart?,Harry Potter
What is Ron's boggart?,Harry Potter
What is Neville's boggart?,Harry Potter
What is Mrs. Weasley's boggart?,Harry Potter
What is Lupin's boggart?,Harry Potter
What is Parvati's boggart?,Harry Potter
What is Snape's boggart?,Harry Potter
What is Dumbledore's boggart?,Harry Potter
What is McGonagall's boggart?,Harry Potter
What is Draco's boggart?,Harry Potter
What is Ginny's boggart?,Harry Potter
What is Luna's boggart?,Harry Potter
What is Sirius's boggart?,Harry Potter
What is Hagrid's boggart?,Harry Potter
What is Mr. Weasley's boggart?,Harry Potter
What is Fred's boggart?,Harry Potter
What is George's boggart?,Harry Potter
What house was Tonks in?,Harry Potter
What house was Lupin in?,Harry Potter
What house was Sirius in?,Harry Potter
What house was Pettigrew in?,Harry Potter
What house was Snape in?,Harry Potter
What house was Slughorn in?,Harry Potter
What house was McGonagall in?,Harry Potter
What house was Flitwick in?,Harry Potter
What house was Sprout in?,Harry Potter
What house was Lockhart in?,Harry Potter
What house was Quirrell in?,Harry Potter
What house was Moody/Crouch in?,Harry Potter
What house was Umbridge in?,Harry Potter
What house was Trelawney in?,Harry Potter
What house was Firenze in?,Harry Potter
What house was Filch in?,Harry Potter
What house was Hagrid in?,Harry Potter
What house was Dumbledore in?,Harry Potter
What house was Voldemort in?,Harry Potter
What house was Bellatrix in?,Harry Potter
What house was Narcissa Malfoy in?,Harry Potter
What house was Lucius Malfoy in?,Harry Potter
What house was Draco Malfoy in?,Harry Potter
What house was Crabbe in?,Harry Potter
What house was Goyle in?,Harry Potter
What house was Pansy Parkinson in?,Harry Potter
What house was Cho Chang in?,Harry Potter
What house was Cedric Diggory in?,Harry Potter
What house was Fleur Delacour in?,Harry Potter
What house was Viktor Krum in?,Harry Potter
What house was Ginny Weasley in?,Harry Potter
What house was the Grey Lady ghost in?,Harry Potter
What house was the Bloody Baron ghost in?,Harry Potter
What house was Nearly Headless Nick ghost in?,Harry Potter
What house was Moaning Myrtle ghost in?,Harry Potter
What house was Helena Ravenclaw ghost in?,Harry Potter
What house was the Fat Friar ghost in?,Harry Potter
What spell disarms your opponent?,Harry Potter
What spell conjures a Patronus?,Harry Potter
What spell opens locks?,Harry Potter
What spell mends broken objects?,Harry Potter
What spell immobilizes someone briefly?,Harry Potter
What spell levitates objects?,Harry Potter
What spell reveals hidden things?,Harry Potter
What spell silences people?,Harry Potter
What spell heals minor injuries?,Harry Potter
Who is Harry Potter's godfather?,Harry Potter
What is the name of Harry's owl?,Harry Potter
What is the name of the wizard prison?,Harry Potter
What is the name of the Hogwarts headmaster during most of the books?,Harry Potter
What is the name of Harry's mother?,Harry Potter
What is the name of Harry's father?,Harry Potter
What is the name of Ron Weasley's pet rat?,Harry Potter
What is the name of Hermione's cat?,Harry Potter
What is the name of Hagrid's dog?,Harry Potter
What is the name of Neville Longbottom's toad?,Harry Potter
What is the name of the Hogwarts ghost that lives in Gryffindor tower?,Harry Potter
What is the name of the poltergeist at Hogwarts?,Harry Potter
What is the name of Draco Malfoy's mother?,Harry Potter
What is the name of the Hogwarts house elf that tries to save Harry's life?,Harry Potter
What is the name of Ron's younger sister?,Harry Potter
What is the name of the Hogwarts groundskeeper?,Harry Potter
What is the name of the wizard sport played at Hogwarts on broomsticks?,Harry Potter
What is the name of the Hogwarts sorting hat?,Harry Potter
What is the name of the wizard bank run by goblins?,Harry Potter
What is the name of the hidden London street where wizards shop?,Harry Potter
What are the three Unforgivable Curses?,Harry Potter
What is the name of Voldemort's snake?,Harry Potter
What is the name of Harry's cousin?,Harry Potter
What is the name of Harry's aunt?,Harry Potter
What is the name of Harry's uncle?,Harry Potter
What is the name of Ron's older brother who works with dragons?,Harry Potter
What is the name of the Hogwarts potions master?,Harry Potter
What is the name of the centaur who lives in the Forbidden Forest?,Harry Potter
What is the name of the half-giant wizard who rescues Harry from the Dursleys?,Harry Potter
What is the name of the wizard candy that allows you to float?,Harry Potter
What is the name of the device that allows wizards to travel through fireplaces?,Harry Potter
What is the name of the magical map that shows everyone's location at Hogwarts?,Harry Potter
What is the name of the room at Hogwarts that transforms into whatever you need?,Harry Potter
What is the name of the wizarding school located in France?,Harry Potter
What is the name of the wizarding school located in Bulgaria?,Harry Potter
What is the name of the wizarding school located in Brazil?,Harry Potter
What is the name of the wizarding governing body?,Harry Potter
What is the name of the wizard prison located in the North Sea?,Harry Potter
What is the name of the potion that forces someone to tell the truth?,Harry Potter
What is the name of the potion that transforms you into another person?,Harry Potter
What is the name of the cloak that makes the wearer invisible?,Harry Potter
What is the name of the resurrection stone?,Harry Potter
What is the name of the elder wand?,Harry Potter
What is the name of the wizard sport that uses flying balls called bludgers?,Harry Potter
What is the name of the wizarding newspaper?,Harry Potter
What is the name of the Hogwarts house known for being brave?,Harry Potter
What is the name of the Hogwarts house known for being intelligent?,Harry Potter
What is the name of the Hogwarts house known for being cunning?,Harry Potter
What is the name of the Hogwarts house known for being loyal?,Harry Potter
What is the name of Harry's strongest magical skill?,Harry Potter
What is the name of the spell that disarms opponents?,Harry Potter
What is the name of the spell that makes objects fly?,Harry Potter
What is the name of the spell that opens locks?,Harry Potter
What is the name of the spell that repairs objects?,Harry Potter
What is the name of the spell that conjures water?,Harry Potter
What is the name of the spell that levitates objects?,Harry Potter
What is the name of the spell that reveals hidden things?,Harry Potter
What is the name of the spell that stuns opponents?,Harry Potter
What is the name of the spell that produces a patronus?,Harry Potter
What is the name of the spell that transforms animals into water goblets?,Harry Potter
What is the name of the forbidden forest outside Hogwarts?,Harry Potter
What is the name of the hidden platform where students board the Hogwarts Express?,Harry Potter
What is the name of the magical creature that pulls the Hogwarts carriages?,Harry Potter
What is the name of the magical hat that sorts first year students into Hogwarts houses?,Harry Potter
What is the name of the magical creature that lives in the Chamber of Secrets?,Harry Potter
What is the name of the magical plant with tentacles that strangles anything in its reach?,Harry Potter
What is the name of the village near Hogwarts?,Harry Potter
What is the name of the sweet shop in Hogsmeade village?,Harry Potter
What is the name of the joke shop opened by Fred and George Weasley?,Harry Potter
What is the name of the wizard sport league?,Harry Potter
What is the name of the school feast held at the start of each school year?,Harry Potter
What is the name of the portrait guarding the entrance to Gryffindor tower?,Harry Potter
What is the name of Hagrid's giant half-brother?,Harry Potter
What is the name of Harry's least favorite professor?,Harry Potter
What is the name of Ron's pet owl?,Harry Potter
What is the name of the Hogwarts house ghost known as the Grey Lady?,Harry Potter
What is the name of the Hogwarts house ghost known as the Bloody Baron?,Harry Potter
What is the name of the Hogwarts house ghost known as the Fat Friar?,Harry Potter
What is the name of the Hogwarts house ghost known as Nearly Headless Nick?,Harry Potter
What is the name of Neville's grandmother?,Harry Potter
What is the name of the Hogwarts librarian?,Harry Potter
What is the name of the Hogwarts nurse?,Harry Potter
What is the name of the Hogwarts caretaker?,Harry Potter
What is the name of the Hogwarts divination professor?,Harry Potter
What is the name of the wizarding exam students take at age 17?,Harry Potter
What is the name of the advanced potions book once belonging to the Half-Blood Prince?,Harry Potter
What is the name of the spell that kills people instantly?,Harry Potter
What is the name of the room where things are hidden at Hogwarts?,Harry Potter
What is the name of the house elf who tries to prevent Harry from returning to Hogwarts in Chamber of Secrets?,Harry Potter
What is the name of the wizard prison located inside the Ministry of Magic?,Harry Potter
What is the name of the prophecy orb containing the prophecy about Harry and Voldemort?,Harry Potter
What is the name of the room at the Ministry of Magic filled with time turners?,Harry Potter
What is the name of the centaur professor who teaches divination at Hogwarts for a year?,Harry Potter
What is the name of the wizard rock band at Harry's Yule Ball?,Harry Potter
What is the name of the dance competition held during the Triwizard Tournament?,Harry Potter
What is the title of the painting by Pablo Picasso painted in 1907?",MOMA SQL Database
How many artworks are in the collection by Henri Matisse?,MOMA SQL Database
What year was the artwork Broadway Boogie Woogie by Piet Mondrian created?,MOMA SQL Database
What is the medium used for the artwork Campbell's Soup Cans by Andy Warhol?,MOMA SQL Database
How many artworks in the collection were made in the 1980s?,MOMA SQL Database
What nationality was the artist Frida Kahlo?,MOMA SQL Database
What was the first year an artwork entered the collection?,MOMA SQL Database
How many artworks were acquired in 2015?,MOMA SQL Database
What is the earliest year an artwork was created?,MOMA SQL Database
How many artworks have the word 'blue' in the title?,MOMA SQL Database
What are the top 5 most common nationalities for artists in the collection?,MOMA SQL Database
Which artist has the most artworks in the collection?,MOMA SQL Database
How many sculptures are in the collection?,MOMA SQL Database
What percent of the collection was created after 1950?,MOMA SQL Database
How many artworks have the color red prominent?,MOMA SQL Database
What is the most common medium used by artists in the collection?,MOMA SQL Database
Which decade has the most artworks represented?,MOMA SQL Database
What is the title of the earliest artwork in the collection?,MOMA SQL Database
How many artworks were gifts to the museum?,MOMA SQL Database
What was the first painting to enter the collection?,MOMA SQL Database
How many artworks were made in New York?,MOMA SQL Database
Which artist made the artwork Broadway Boogie Woogie?,MOMA SQL Database
What year did the museum first open?,MOMA SQL Database
What is the most common subject depicted in the collection?,MOMA SQL Database
How many artworks were made in Paris?,MOMA SQL Database
What was the last painting acquired by the museum?,MOMA SQL Database
How many photographs are in the collection?,MOMA SQL Database
What percent of artworks are by female artists?,MOMA SQL Database
Which artist has the earliest birth year?,MOMA SQL Database
How many artworks were purchased by the museum?,MOMA SQL Database
What country produced the most artworks in the collection?,MOMA SQL Database
What decade has the fewest artworks represented?,MOMA SQL Database
Which artwork has been in the collection the longest?,MOMA SQL Database
What is the most common color used in the collection?,MOMA SQL Database
How many paintings are impressionist style?,MOMA SQL Database
What was the first sculpture acquired by the museum?,MOMA SQL Database
What is the most common place of creation for artworks?,MOMA SQL Database
How many artworks were created in the 1950s?,MOMA SQL Database
Which artist has the latest birth year?,MOMA SQL Database
What percent of the collection is paintings?,MOMA SQL Database
How many artworks were gifts from private collectors?,MOMA SQL Database
What was the last sculpture acquired by the museum?,MOMA SQL Database
How many artworks have animals as the subject?,MOMA SQL Database
How many artworks were created in France?,MOMA SQL Database
What was the first photograph to enter the collection?,MOMA SQL Database
What is the most common artistic style represented?,MOMA SQL Database
Which artist has the most self-portraits in the collection?,MOMA SQL Database
How many artworks were purchased from galleries?,MOMA SQL Database
What was the first year the museum acquired an artwork?,MOMA SQL Database
How many artworks have flowers as the subject?,MOMA SQL Database
How many artworks were created in Spain?,MOMA SQL Database
What was the most recent year the museum did not acquire any new artworks?,MOMA SQL Database
How many landscapes are in the collection?,MOMA SQL Database
What percent of the collection is works on paper?,MOMA SQL Database
How many portraits are in the collection?,MOMA SQL Database
What was the first digital artwork acquired by the museum?,MOMA SQL Database
How many abstract artworks are in the collection?,MOMA SQL Database
How many artworks feature buildings or architecture?,MOMA SQL Database
What percent of the collection was created before 1900?,MOMA SQL Database
How many still life artworks are in the collection?,MOMA SQL Database
Which decade has the most photographs represented?,MOMA SQL Database
What was the last sculpture to enter the collection?,MOMA SQL Database
How many artworks are self-portraits of the artist?,MOMA SQL Database
What was the first digital artwork acquired by the museum?,MOMA SQL Database
How many artworks have religious themes?,MOMA SQL Database
How many artworks were created in Germany?,MOMA SQL Database
How many artworks feature nature scenes?,MOMA SQL Database
What was the first painting by Pablo Picasso to enter the collection?,MOMA SQL Database
How many artworks were gifts from artists?,MOMA SQL Database
What percent of the collection is three-dimensional works?,MOMA SQL Database
How many artworks feature the human figure?,MOMA SQL Database
How many artworks were created in Japan?,MOMA SQL Database
How many artworks are installations?,MOMA SQL Database
What was the most recent acquisition by the museum?,MOMA SQL Database
What is the title of the artwork by artist Pablo Picasso?",MOMA SQL Database
What year was the artwork Les Demoiselles d'Avignon created?,MOMA SQL Database
What is the medium used for the artwork Campbell's Soup Cans?,MOMA SQL Database
Who created the artwork The Starry Night?,MOMA SQL Database
What nationality is the artist Henri Matisse?,MOMA SQL Database
Which artist created the artwork Broadway Boogie Woogie?,MOMA SQL Database
What was the first artwork to enter MoMA's collection?,MOMA SQL Database
How many artworks are in the collection by Claude Monet?,MOMA SQL Database
When was the artwork Dance (I) created?,MOMA SQL Database
What is the date of the earliest artwork in the collection?,MOMA SQL Database
How many sculptures are in the collection?,MOMA SQL Database
What is the most common nationality for artists in the collection?,MOMA SQL Database
Which artist has the most artworks in the collection?,MOMA SQL Database
How many artworks were acquired in 1920?,MOMA SQL Database
What was the first painting to enter the collection?,MOMA SQL Database
Who painted the artwork Where Do We Come From? What Are We? Where Are We Going?,MOMA SQL Database
What year was the artwork Full Fathom Five created?,MOMA SQL Database
Which artist created the artwork Man with a Guitar?,MOMA SQL Database
What is the medium for the artwork Campbell's Soup Cans?,MOMA SQL Database
How many artworks were created in the 1950s?,MOMA SQL Database
What was the last painting to enter the collection before 1950?,MOMA SQL Database
Which artist has the most photographs in the collection?,MOMA SQL Database
What is the title of the earliest photograph acquired by MoMA?,MOMA SQL Database
When was the artwork Dance (I) created?,MOMA SQL Database
How many artworks by Pablo Picasso are paintings?,MOMA SQL Database
What is the latest year that an artwork entered the collection?,MOMA SQL Database
How many artworks were gifts?,MOMA SQL Database
What was the first sculpture to enter the collection?,MOMA SQL Database
Which artist created the most artworks in the Pop Art style?,MOMA SQL Database
How many artworks were purchased by MoMA?,MOMA SQL Database
What nationality is the artist with the most artworks?,MOMA SQL Database
Which decade has the most artworks created?,MOMA SQL Database
What was the first digital artwork acquired by MoMA?,MOMA SQL Database
How many artworks were created in France?,MOMA SQL Database
Who created the artwork Broadway Boogie Woogie?,MOMA SQL Database
What percentage of artworks are by female artists?,MOMA SQL Database
Which artist has the most photographs in the collection?,MOMA SQL Database
What was the most expensive artwork purchased by MoMA?,MOMA SQL Database
How many artworks were created in the 1980s?,MOMA SQL Database
What was the first painting by Pablo Picasso to enter the collection?,MOMA SQL Database
How many artworks were created in Italy?,MOMA SQL Database
What was the first collage acquired by MoMA?,MOMA SQL Database
Which artist created the artwork Campbell's Soup Cans?,MOMA SQL Database
What is the title of the latest artwork to enter the collection?,MOMA SQL Database
How many artworks were gifts from Rockefeller?,MOMA SQL Database
What was the first painting to enter the collection?,MOMA SQL Database
Which decade has the fewest artworks?,MOMA SQL Database
What is the most common medium used by artists in the collection?,MOMA SQL Database
How many artworks were created in Spain?,MOMA SQL Database
Which artist created the artwork Les Demoiselles d'Avignon?,MOMA SQL Database
What was the first digital artwork acquired?,MOMA SQL Database
How many artworks were created in the 1960s?,MOMA SQL Database
What percentage of artworks were created in the 20th century?,MOMA SQL Database
How many photographs were acquired in the 1950s?,MOMA SQL Database
What was the first collage acquired by the museum?,MOMA SQL Database
Which artist has created the most sculptures in the collection?,MOMA SQL Database
What was the first sculpture acquired by MoMA?,MOMA SQL Database
How many artworks were purchased in the 1930s?,MOMA SQL Database
Which artist created the artwork The Starry Night?,MOMA SQL Database
What is the title of the earliest photograph acquired?,MOMA SQL Database
How many artworks were gifts from donors?,MOMA SQL Database
What was the most expensive painting purchased?,MOMA SQL Database
Which decade has the most photographs?,MOMA SQL Database
What percentage of the collection is paintings?,MOMA SQL Database
How many artworks were created in Germany?,MOMA SQL Database
Who painted the earliest artwork acquired by MoMA?,MOMA SQL Database
Which artist created the most collages in the collection?,MOMA SQL Database
What was the first digital artwork to enter the collection?,MOMA SQL Database
How many artworks were created in the 1910s?,MOMA SQL Database
What is the most common medium for sculptures in the collection?,MOMA SQL Database
What is the title of the artwork by artist Pablo Picasso?",MOMA SQL Database
What year was the artwork Les Demoiselles d'Avignon created?,MOMA SQL Database
What is the medium used for the artwork Campbell's Soup Cans?,MOMA SQL Database
Who created the artwork The Starry Night?,MOMA SQL Database
What nationality is the artist Henri Matisse?,MOMA SQL Database
Which artist created the artwork Broadway Boogie Woogie?,MOMA SQL Database
What was the first artwork to enter MoMA's collection?,MOMA SQL Database
How many artworks are in the collection by Claude Monet?,MOMA SQL Database
When was the artwork Dance (I) created?,MOMA SQL Database
What is the date the artwork The Dream was acquired?,MOMA SQL Database
What is the height in cm of the artwork The Sleeping Gypsy?,MOMA SQL Database
What materials were used to create the artwork Untitled?,MOMA SQL Database
Which artist has the most artworks in the collection?,MOMA SQL Database
How many sculptures are in the collection?,MOMA SQL Database
What country is artist Frida Kahlo from?,MOMA SQL Database
What was the first year an artwork entered the collection?,MOMA SQL Database
How many artworks feature the color blue?,MOMA SQL Database
What is the most common nationality for artists in the collection?,MOMA SQL Database
How many artworks are photographs?,MOMA SQL Database
What is the earliest year of acquisition for an artwork?,MOMA SQL Database
Which artist has the earliest year of birth?,MOMA SQL Database
How many artworks were created in the 1920s?,MOMA SQL Database
What are the dimensions in cm of the artwork Campbell's Soup Cans?,MOMA SQL Database
Which artwork has been on view at MoMA for the longest time?,MOMA SQL Database
What is the most common medium used by artists in the collection?,MOMA SQL Database
Which decade has the most artworks created?,MOMA SQL Database
What is the average size in cm of all artworks?,MOMA SQL Database
How many artworks were gifts or donations?,MOMA SQL Database
What percentage of artworks are by female artists?,MOMA SQL Database
Which artwork took the longest to create?,MOMA SQL Database
What is the most common subject matter depicted?,MOMA SQL Database
How many artworks were purchased by MoMA?,MOMA SQL Database
What was MoMA's first painting acquisition?,MOMA SQL Database
Which country has the most artist representations?,MOMA SQL Database
What is the most common place of creation for artworks?,MOMA SQL Database
How many artworks are self-portraits?,MOMA SQL Database
What was the first sculpture acquired by MoMA?,MOMA SQL Database
Which artist died at the youngest age?,MOMA SQL Database
What is the earliest birth year for an artist in the collection?,MOMA SQL Database
How many artworks have a known creation date?,MOMA SQL Database
What is the most popular color used in artworks?,MOMA SQL Database
How many artworks were created in New York?,MOMA SQL Database
What was the first photograph acquired by MoMA?,MOMA SQL Database
Which decade has the fewest artworks created?,MOMA SQL Database
What is the most common place of origin for artists?,MOMA SQL Database
How many artworks feature animals?,MOMA SQL Database
Which artist was born closest to MoMA's opening in 1929?,MOMA SQL Database
What is the average size in inches of all artworks?,MOMA SQL Database
How many artworks feature landscapes?,MOMA SQL Database
What percentage of artworks were acquired through purchases?,MOMA SQL Database
Which country has the fewest artist representations?,MOMA SQL Database
What was the last painting acquired in the initial collection?,MOMA SQL Database
How many artworks feature people as subjects?,MOMA SQL Database
What is the most common acquisition type for artworks?,MOMA SQL Database
Which artist has the most artworks featuring flowers?,MOMA SQL Database
How many artworks are abstract style?,MOMA SQL Database
What is the average acquisition year for all artworks?,MOMA SQL Database
What is the name of the artist who created the artwork titled 'Broadway Boogie Woogie'?,MOMA SQL Database
What year was the artwork 'Broadway Boogie Woogie' created?,MOMA SQL Database
What is the medium used to create the artwork 'Broadway Boogie Woogie'?,MOMA SQL Database
What is the genre of the artwork 'Broadway Boogie Woogie'?,MOMA SQL Database
What is the nationality of the artist Piet Mondrian?,MOMA SQL Database
How many artworks by Piet Mondrian are in the collection?,MOMA SQL Database
What is the earliest year an artwork by Piet Mondrian in the collection was created?,MOMA SQL Database
What is the latest year an artwork by Piet Mondrian in the collection was created?,MOMA SQL Database
What is the title of the earliest artwork by Piet Mondrian in the collection?,MOMA SQL Database
What is the title of the latest artwork by Piet Mondrian in the collection?,MOMA SQL Database
How many artworks in the collection were created in the 1920s?,MOMA SQL Database
How many artworks in the collection have painting as the medium?,MOMA SQL Database
How many artworks in the collection are classified as cubist?,MOMA SQL Database
How many artworks in the collection are portraits?,MOMA SQL Database
What is the title of the earliest cubist artwork in the collection?,MOMA SQL Database
What year was the earliest cubist artwork in the collection created?,MOMA SQL Database
Who is the artist with the most artworks in the collection?,MOMA SQL Database
How many artworks by that artist are in the collection?,MOMA SQL Database
What nationality is that artist?,MOMA SQL Database
What is the earliest year that artist has an artwork in the collection?,MOMA SQL Database
What is the latest year that artist has an artwork in the collection?,MOMA SQL Database
What is the title of the earliest artwork by that artist in the collection?,MOMA SQL Database
What is the title of the latest artwork by that artist in the collection?,MOMA SQL Database
How many artworks in the collection were acquired as gifts?,MOMA SQL Database
How many artworks in the collection were acquired through purchases?,MOMA SQL Database
What is the earliest year an artwork in the collection was acquired?,MOMA SQL Database
What is the latest year an artwork in the collection was acquired?,MOMA SQL Database
What is the title of the earliest acquired artwork in the collection?,MOMA SQL Database
What is the title of the latest acquired artwork in the collection?,MOMA SQL Database
How many artworks in the collection are sculptures?,MOMA SQL Database
How many artworks in the collection are photographs?,MOMA SQL Database
How many artworks in the collection are watercolors?,MOMA SQL Database
How many artworks in the collection are oil paintings?,MOMA SQL Database
What nationality has the most artists represented in the collection?,MOMA SQL Database
How many artists of that nationality are represented?,MOMA SQL Database
Who is the artist with the earliest birth year represented in the collection?,MOMA SQL Database
What is that artist's birth year?,MOMA SQL Database
Who is the artist with the latest birth year represented in the collection?,MOMA SQL Database
What is that artist's birth year?,MOMA SQL Database
How many artworks in the collection were created in the 19th century?,MOMA SQL Database
How many artworks in the collection were created between 1900-1950?,MOMA SQL Database
How many artworks in the collection were created after 1950?,MOMA SQL Database
What is the most common medium used in the collection?,MOMA SQL Database
How many artworks use that medium?,MOMA SQL Database
What is the least common medium used in the collection?,MOMA SQL Database
How many artworks use that medium?,MOMA SQL Database
How many artworks in the collection are self-portraits?,MOMA SQL Database
Who painted the most self-portraits in the collection?,MOMA SQL Database
